Set,Time,antennaSTR,clientRSSI,bssidRSSI,bssidArray,clientArray
2,92.25834608078003,6,-41,-1,[-1],[-41]
2,92.28113007545471,7,-41,-1,[-1],[-41]
2,92.30491709709167,8,-41,-45,[-45],[-41]
2,92.32660508155823,9,-41,-1,[-1],[-41]
2,92.34589910507202,10,-41,-1,[-1],[-41]
2,92.36715698242188,11,-41,-1,[-1],[-41]
2,106.1862370967865,13,-40,-37,[-37],[-40]
2,108.22064709663391,14,-39,-1,[-1],[-39]
2,109.25104808807373,15,-38,-1,[-1],[-38]
2,111.03281903266907,16,-39,-1,[-1],[-39]
2,112.06536316871643,17,-38,-1,[-1],[-38]
2,114.09769701957703,18,-39,-1,[-1],[-39]
